Stud_Nr	Sex	Date	Energy kcal	Alcohol g	Caffeine mg	Water g	B1 Thiamine mg	B2 Riboflavin mg	B3 Niacin mg	B5 Pantothenic Acid mg	B6 Pyridoxine mg	B12 Cobalamin µg	Folate µg	Vitamin A µg	Vitamin C mg	Vitamin D IU	Vitamin E mg	Vitamin K µg	Calcium mg	Copper mg	Iron mg	Magnesium mg	Manganese mg	Phosphorus mg	Potassium mg	Selenium µg	Sodium mg	Zinc mg	Carbs g	Fiber g	Starch g	Sugars g	Added Sugars g	Net Carbs g	"Fat g"	Cholesterol mg	Mono-unsaturated g	Poly-unsaturated g	Saturated g	Trans-Fats g	Omega-3 g	Omega-6 g	Cystine g	Histidine g	Isoleucine g	Leucine g	Lysine g	Methionine g	Phenyl-alanine g	Protein g	Threonine g	Tryptophan g	Tyrosine g	Valine g	Completed	BMR kcal
36	female	2024-09-17	1792	0.0	284	3760	1.0	1.3	10	5.1	1.4	0.3	280	1648	47	41	15.6	106	583	1.4	9.1	262	3.3	606	2807	44	655	4.7	172	30	43	84	1	140	111	0	48	16	40	0.2	1.0	14.3	0.4	0.7	1.1	1.9	1.2	0.4	1.2	50	1.2	0.3	0.8	1.3	FALSE	1351
38	female	17/09/2024	1782	0.0	52	2487	1.0	1.1	25	4.0	1.3	1.7	212	407	37	124	6.2	64	435	0.9	45.6	229	2.5	919	2065	66	1589	6.4	243	18	59	88	0	220	57	422	10	5	25	0.4	0.4	4.5	0.8	1.8	3.1	4.8	4.8	1.6	2.7	79	2.6	0.8	2.2	3.2	FALSK	1320
39	female	19/09/2024	2218	0.0	175	771	1.3	1.6	16	5.3	2.4	2.1	321	255	74	53	12.9	158	640	4.2	11.3	395	5.0	998	4212	107	1950	8.0	268	29	124	103	38	239	109	370	43	38	23	0.8	6.7	30.3	0.9	1.3	2.5	4.3	3.7	1.1	2.4	59	2.4	0.8	1.8	2.9	FALSE	1540
43	female	01/08/2024	1944	0.0	189	3649	1.2	1.9	24	6.7	1.9	1.5	517	924	126	129	12.9	167	814	1.5	11.1	436	4.5	1234	3923	60	1048	8.5	192	42	71	68	1	146	107	47	49	16	28	0.5	1.2	14.2	0.8	1.5	2.2	4.1	2.8	0.9	2.8	80	2.1	0.6	2.2	2.7	FALSE	1354
45	female	2024-09-17	2493	0.0	319	3162	1.2	1.8	25	5.2	2.2	3.7	443	1377	134	90	9.0	223	778	2.2	19.5	518	5.6	1513	4076	144	1765	15.4	279	50	57	116	7	226	113	422	36	11	52	2.6	0.8	6.5	1.2	2.4	3.8	6.6	6.1	1.7	3.8	110	3.5	0.9	2.7	4.3	FALSE	1354
66	female	17/09/2024	2080	0.0	210	3448	1.7	1.8	40	6.0	3.2	2.8	551	1467	74	35	12.8	356	823	1.9	19.8	500	5.8	1481	4380	111	17094	13.7	256	34	163	43	12	222	73	242	38	11	19	1.0	1.0	8.9	1.6	3.2	5.0	8.6	7.4	2.5	4.7	109	4.3	1.3	3.6	5.4	FALSE	1575
144	female	17/09/2024	1593	0.0	226	2854	0.9	0.8	9	2.6	0.7	0.6	452	606	33	46	3.7	54	319	0.9	12.8	178	4.3	482	1800	46	1602	3.9	169	25	62	39	5	143	82	195	6	6	44	0.0	0.6	5.5	0.6	0.7	1.4	2.3	1.7	0.6	1.5	51	1.2	0.4	1.0	1.5	FALSE
?	female	17.09.2024	2159	0.0	339	3004	1.3	1.6	12	3.8	0.7	3.6	240	1066	22	241	3.7	21	1796	0.8	7.3	224	1.9	1140	2010	94	2565	8.7	247	14	61	107	18	233	91	269	15	3	53	2.1	0.5	1.3	0.4	1.2	1.8	3.4	2.8	0.9	1.9	86	1.6	0.5	1.6	2.2	FALSE	1397
9	male	18/9/2024	2602	0.5	169	4407	9.4	13.8	63	39.8	19.6	3.5	309		189	790	32.1	225	1991	1.5	16.2	419	4.3	2141	4356	158	1942	18.4	275	22	30	202	63	252	96	1026	33	24	30	0.7	3.4	20.2	2.7	4.2	8.5	15.0	13.4	3.9	77.1	169	7.7	2.7	5.9	9.3	FALSE	1828
26	male	01/08/2024	2291	0.0	190	3485	1.3	1.6	23	2.9	1.3	5.8	124	455	20	60	17.1	11	635	1.5	13.4	391	4.8	1308	2801	147		20.6	186	30	65	36	0	156	127	324	39	11	55	2.2	0.4	9.7	1.1	2.9	4.1	7.3	6.3	2.1	4.2	118	3.4	0.8	3.0	4.7	FALSE
28	male	2024-09-18	3252	0.0	74	5787	2.1	4.3	23	10.4	2.6	12.6	505	1512	212	2591	11.6	148	3894	2.2	19.0	708	9.0	3628	1619	170	3837	20.0	376	55	105	165	26	319	99	136	35	15	39	1.2	2.5	11.7	2.9	4.9	9.9	18.4	15.8	4.3	8.6	224	9.2	3.5	6.8	11.1	FALSE	1876
33	male	2024-08-01	2625	0.0	180	4083	1.7	3.8	57	9.5	5.0	12.3	413		374	416	8.8	1570	1355	1.2	20.9	343	4.8	2344	4297	309	2765	36.5	22	16	0	8	1	6	172	1590	69	16	65	4.8	2.8	11.9	3.4	7.9	11.3	19.8	19.5	6.2	10.4	241	10.0	2.0	8.2	12.3	FALSE	1945
35	male	17/09/2024	3349	0.0	25	2629	1.8	2.8	30	8.0	2.1	4.0	452	1780	65	99	9.9			2.1	19.6	602	9.9	1535	5901	213	5172	16.3	411	65	165	163	48	345	107	526	19	13	41	0.7	1.7	10.5	3.1	4.2	7.8	14.0	12.3	3.5	6.9	209	7.5	2.6	5.2	8.3	FALSE	1940
41	male	18/9/2024	1846	0.0	225	4008	11.5	15.8	109	30.2	11.7	17.4	597	1162	594	384	9.4	257	750	1.6	10.6	444	2.8	1863	4783	315	1715	18.3	231	31	16	162	9	195	36	375	12	9	10	0.3	2.1	6.5	1.7	5.2	7.6	13.1	14.4	4.3	6.6	167	7.6	1.9	5.7	8.6	FALSE	1790
